kanji,hanviet,description, description1, type
一,Nhất,số 1,,5
右,Hữu,bên phải,,5
雨,Vũ,mưa,,5
円,Viên,tiền yên,,5
王,Vương,vua,,5
音,Âm,âm thanh,,5
下,Hạ, bên dưới,,5
火,Hoả, lửa,,5
花,Hoa, bông hoa,,5
貝,Bối, con sò,,5
学,Học, học sinh,,5
気,Khí,khí chất,,5
九,Cửu,số 9,,5
休,Hưu,nghỉ hưu,,5
玉,Ngọc,ngọc bảo,,5
金,Kim,vàng,,5
空,Không,không gian,,5
月,Nguyệt,trăng,,5
犬,Khuyển,con chó,,5
見,Kiến,nhìn,,5
五,Ngũ,số 5,,5
口,Khẩu,cái mồm,,5
校,Hiệu,trường học,,5
左,Tả,bên trái,,5
三,Tam,số 3,,5
山,Sơn,núi,,5
子,Tử,con,,5
四,Tứ,số 4,,5
糸,Mịch,sợi tơ,,5
字,Tự,chữ,,5
耳,Nhĩ,cái tai,,5
七,Thất,số 7,,5
車,Xa,xe,,5
手,Thủ,cái tay,,5
十,Thập,số 10,,5
出,Xuất,xuất ngoại,,5
女,Nữ,con gái,,5
小,Tiểu,nhỏ,,5
上,Thượng,bên trên,,5
森,Sâm,rừng sâu,,5
人,Nhân,người,,5
水,Thủy,nước,,5
正,Chính,chính xác,,5
生,Sinh,học sinh,,5
青,Thanh,màu xanh,,5
夕,Tịch,buổi chiều,,5
石,Thạch,đá,,5
赤,Xích,màu đỏ,,5
千,Thiên,1 nghìn,,5
川,Xuyên,sông,,5
先,Tiên, trước,,5
早,Tảo, nhanh chóng,,5
草,Thảo,cỏ
足,Túc, bàn chân, sung túc,5
村,Thôn, thôn làng,,5
大,Đại,lớn,,5
男,Nam,con trai,,5
竹,Trúc,cây trúc,,5
中,Trung,ở giữa,,5
虫,Trùng,côn trùng,,5
町,Đinh,thị trấn,,5
天,Thiên,trời,,5
田,Điền,ruộng,,5
土,Thổ,đất , thổ nhưỡng,5
二,Nhị,số 2,,5
日,Nhật,ngày , mặt trời,5
入,Nhập, vào trong , nhập khẩu,5
年,Niên, năm,,5
白,Bạch,màu trắng,,5
八,Bát,số 8,,5
百,Bách,số 100,,5
文,Văn,văn hóa,văn học,5
木,Mộc,cây,,5
本,Bản, sách , Nhật Bản,5
名,Danh, tên , danh nhân,5
目,Mục, mắt , mục lục,5
立,Lập, đứng,,5
力,Lực,năng lực,,5
林,Lâm,rừng,,5
六,Lục,số 6,,5
引,Dẫn ,kéo,,5
羽,Vũ,lông chim,,5
雲,Vân,mây,,5
園,Viên,công viên,,5
遠,Viễn,xa,,5
何,Hà,cái gì,,5
科,Khoa,khoa học,,5
夏,Hạ,mùa hè,,5
家,Gia,gia đình, nhà,5
歌,Ca,hát,,5
画,Họa/Hoạch,họa sĩ , kế hoạch,5
回,Hồi, vòng quanh , đi quanh,5
会,Hội,gặp gỡ,,5
海,Hải, biển , hải cảng,5
絵,Hội,hội họa,,5
外,Ngoại,bên ngoài,,5
角,Giác,góc,,5
楽,Lạc,vui vẻ,,5
活,Hoạt,sinh hoạt,,5
間,Gian,ở giữa , trung gian,5
丸,Hoàn,hình tròn,,5
岩,Nham,đất đá,,5
顔,Nhan,khuôn mặt,,5
汽,Khí,hơi nước,,5
記,Kí,nhật kí,,5
帰,Quy,trở về,,5
弓,Cung,cây cung,,5
牛,Ngưu,con bò,,5
魚,Ngư,con cá,,5
京,Kinh,kinh đô,,5
強,Cường,cường lực,,5
教,Giáo, giáo dục , giáo viên,5
近,Cận,gần,,5
兄,Huynh, anh trai,,5
形,Hình, hình dạng,,5
計,Kế,kế hoạch,,5
元,Nguyên,nguyên khí,,5
言,Ngôn,ngôn ngữ,,5
原,Nguyên,nguyên nhân,,5
戸,Hộ,cánh cửa,,5
古,Cổ,cổ xưa,,5
午,Ngọ,giữa trưa,,5
後,Hậu,phía sau,,5
語,Ngữ,ngôn ngữ,,5
工,Công,công trường,,5
公,Công,công cộng,,5
広,Quảng,rộng,,5
交,Giao,cắt nhau,,5
光,Quang,ánh sáng,,5
考,Khảo,suy nghĩ,,5
行,Hành,đi , lữ hành,5
高,Cao, chiều cao,,5
黄,Hoàng,màu vàng,,5
合,Hợp,hòa hợp,,5
谷,Cốc,thung lũng,,5
国,Quốc,quốc gia,,5
黒,Hắc,màu đen,,5
今,Kim,bây giờ,,5
才,Tài,tuổi , thiên tài,5
細,Tế, gầy ,tế bào,5
作,Tác, sáng tác,,5
算,Toán,toán học,,5
止,Chỉ, dừng lại , đình chỉ,5
市,Thị, thành phố,,5
矢,Thỉ,mũi tên,,5
姉,Tỷ,chị gái,,5
思,Tư,suy nghĩ,,5
